id,left,top,right,bottom,Area,OBJECTID,Ecoregion,Shape_Leng,Shape_Le_1,Shape_Area,fid,cat,x,y
"703",16.06909,56.36423,16.16909,56.26423,68908038.968,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,56.314
"704",16.06909,56.26423,16.16909,56.16423,69086865.992,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,56.214
"705",16.06909,56.16423,16.16909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,56.114
"706",16.06909,56.06423,16.16909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,56.014
"707",16.06909,55.96423,16.16909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,55.914
"708",16.06909,55.86423,16.16909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,55.814
"709",16.06909,55.76423,16.16909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,55.714
"710",16.06909,55.66423,16.16909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,55.614
"711",16.06909,55.56423,16.16909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,55.514
"712",16.06909,55.46423,16.16909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,55.414
"713",16.06909,55.36423,16.16909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,55.314
"743",16.16909,56.56423,16.26909,56.46423,68549725.907,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,56.514
"744",16.16909,56.46423,16.26909,56.36423,68728992.094,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,56.414
"745",16.16909,56.36423,16.26909,56.26423,68908038.968,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,56.314
"746",16.16909,56.26423,16.26909,56.16423,69086865.992,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,56.214
"747",16.16909,56.16423,16.26909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,56.114
"748",16.16909,56.06423,16.26909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,56.014
"749",16.16909,55.96423,16.26909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,55.914
"750",16.16909,55.86423,16.26909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,55.814
"751",16.16909,55.76423,16.26909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,55.714
"752",16.16909,55.66423,16.26909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,55.614
"753",16.16909,55.56423,16.26909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,55.514
"754",16.16909,55.46423,16.26909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,55.414
"755",16.16909,55.36423,16.26909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.219,55.314
"784",16.26909,56.66423,16.36909,56.56423,68370240.940,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,56.614
"785",16.26909,56.56423,16.36909,56.46423,68549725.907,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,56.514
"786",16.26909,56.46423,16.36909,56.36423,68728992.094,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,56.414
"787",16.26909,56.36423,16.36909,56.26423,68908038.968,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,56.314
"788",16.26909,56.26423,16.36909,56.16423,69086865.992,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,56.214
"789",16.26909,56.16423,16.36909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,56.114
"790",16.26909,56.06423,16.36909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,56.014
"791",16.26909,55.96423,16.36909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,55.914
"792",16.26909,55.86423,16.36909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,55.814
